unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
0.649,0.693,10000,10,1.5,majority,0.0,5,2,2
0.876,0.773,10000,10,1.5,approval,0.0,5,2,2
0.819,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.82,0.776,10000,10,1.5,majority,0.0,5,2,2
0.738,0.743,10000,10,1.5,approval,0.0,5,2,2
0.729,0.792,10000,10,1.5,plurality,0.0,5,2,2
0.633,0.68,10000,10,1.5,majority,0.0,5,2,2
0.887,0.773,10000,10,1.5,approval,0.0,5,2,2
0.639,0.726,10000,10,1.5,plurality,0.0,5,2,2
0.798,0.724,10000,10,1.5,majority,0.0,5,2,2
0.807,0.766,10000,10,1.5,approval,0.0,5,2,2
0.73,0.746,10000,10,1.5,plurality,0.0,5,2,2
0.629,0.694,10000,10,1.5,majority,0.0,5,2,2
0.943,0.789,10000,10,1.5,approval,0.0,5,2,2
0.758,0.778,10000,10,1.5,plurality,0.0,5,2,2
0.596,0.638,10000,10,1.5,majority,0.0,5,2,2
0.815,0.777,10000,10,1.5,approval,0.0,5,2,2
0.902,0.793,10000,10,1.5,plurality,0.0,5,2,2
0.654,0.7,10000,10,1.5,majority,0.0,5,2,2
0.857,0.756,10000,10,1.5,approval,0.0,5,2,2
0.743,0.762,10000,10,1.5,plurality,0.0,5,2,2
0.731,0.764,10000,10,1.5,majority,0.0,5,2,2
0.881,0.805,10000,10,1.5,approval,0.0,5,2,2
0.955,0.765,10000,10,1.5,plurality,0.0,5,2,2
0.798,0.735,10000,10,1.5,majority,0.0,5,2,2
0.894,0.826,10000,10,1.5,approval,0.0,5,2,2
1.017,0.846,10000,10,1.5,plurality,0.0,5,2,2
0.679,0.763,10000,10,1.5,majority,0.0,5,2,2
0.72,0.731,10000,10,1.5,approval,0.0,5,2,2
0.949,0.85,10000,10,1.5,plurality,0.0,5,2,2
0.599,0.662,10000,10,1.5,majority,0.0,5,2,2
0.841,0.748,10000,10,1.5,approval,0.0,5,2,2
0.92,0.833,10000,10,1.5,plurality,0.0,5,2,2
0.725,0.736,10000,10,1.5,majority,0.0,5,2,2
1.006,0.814,10000,10,1.5,approval,0.0,5,2,2
0.765,0.815,10000,10,1.5,plurality,0.0,5,2,2
0.772,0.721,10000,10,1.5,majority,0.0,5,2,2
1.038,0.874,10000,10,1.5,approval,0.0,5,2,2
0.996,0.846,10000,10,1.5,plurality,0.0,5,2,2
0.643,0.698,10000,10,1.5,majority,0.0,5,2,2
1.041,0.858,10000,10,1.5,approval,0.0,5,2,2
0.881,0.761,10000,10,1.5,plurality,0.0,5,2,2
0.859,0.764,10000,10,1.5,majority,0.0,5,2,2
0.877,0.774,10000,10,1.5,approval,0.0,5,2,2
0.958,0.836,10000,10,1.5,plurality,0.0,5,2,2
1.009,0.811,10000,10,1.5,majority,0.0,5,2,2
0.964,0.858,10000,10,1.5,approval,0.0,5,2,2
0.934,0.853,10000,10,1.5,plurality,0.0,5,2,2
0.819,0.745,10000,10,1.5,majority,0.0,5,2,2
0.851,0.772,10000,10,1.5,approval,0.0,5,2,2
0.77,0.805,10000,10,1.5,plurality,0.0,5,2,2
0.829,0.815,10000,10,1.5,majority,0.0,5,2,2
0.814,0.765,10000,10,1.5,approval,0.0,5,2,2
0.637,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.815,0.834,10000,10,1.5,majority,0.0,5,2,2
0.892,0.791,10000,10,1.5,approval,0.0,5,2,2
1.119,0.889,10000,10,1.5,plurality,0.0,5,2,2
0.97,0.836,10000,10,1.5,majority,0.0,5,2,2
1.027,0.808,10000,10,1.5,approval,0.0,5,2,2
0.775,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.901,0.844,10000,10,1.5,majority,0.0,5,2,2
0.994,0.82,10000,10,1.5,approval,0.0,5,2,2
0.798,0.751,10000,10,1.5,plurality,0.0,5,2,2
0.663,0.711,10000,10,1.5,majority,0.0,5,2,2
0.951,0.776,10000,10,1.5,approval,0.0,5,2,2
0.978,0.765,10000,10,1.5,plurality,0.0,5,2,2
0.948,0.79,10000,10,1.5,majority,0.0,5,2,2
0.788,0.769,10000,10,1.5,approval,0.0,5,2,2
0.788,0.728,10000,10,1.5,plurality,0.0,5,2,2
0.864,0.885,10000,10,1.5,majority,0.0,5,2,2
0.826,0.815,10000,10,1.5,approval,0.0,5,2,2
0.888,0.77,10000,10,1.5,plurality,0.0,5,2,2
0.97,0.702,10000,10,1.5,majority,0.0,5,2,2
0.939,0.787,10000,10,1.5,approval,0.0,5,2,2
0.842,0.746,10000,10,1.5,plurality,0.0,5,2,2
1.042,0.935,10000,10,1.5,majority,0.0,5,2,2
0.842,0.778,10000,10,1.5,approval,0.0,5,2,2
0.792,0.742,10000,10,1.5,plurality,0.0,5,2,2
0.976,0.798,10000,10,1.5,majority,0.0,5,2,2
0.872,0.785,10000,10,1.5,approval,0.0,5,2,2
0.863,0.792,10000,10,1.5,plurality,0.0,5,2,2
0.87,0.812,10000,10,1.5,majority,0.0,5,2,2
0.849,0.757,10000,10,1.5,approval,0.0,5,2,2
0.941,0.743,10000,10,1.5,plurality,0.0,5,2,2
0.872,0.868,10000,10,1.5,majority,0.0,5,2,2
1.033,0.854,10000,10,1.5,approval,0.0,5,2,2
0.746,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.828,0.803,10000,10,1.5,majority,0.0,5,2,2
0.956,0.825,10000,10,1.5,approval,0.0,5,2,2
0.954,0.762,10000,10,1.5,plurality,0.0,5,2,2
0.734,0.761,10000,10,1.5,majority,0.0,5,2,2
0.842,0.768,10000,10,1.5,approval,0.0,5,2,2
0.786,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.634,0.681,10000,10,1.5,majority,0.0,5,2,2
0.805,0.742,10000,10,1.5,approval,0.0,5,2,2
1.2,0.911,10000,10,1.5,plurality,0.0,5,2,2
0.678,0.727,10000,10,1.5,majority,0.0,5,2,2
0.958,0.787,10000,10,1.5,approval,0.0,5,2,2
0.879,0.777,10000,10,1.5,plurality,0.0,5,2,2
0.895,0.795,10000,10,1.5,majority,0.0,5,2,2
0.856,0.799,10000,10,1.5,approval,0.0,5,2,2
0.942,0.79,10000,10,1.5,plurality,0.0,5,2,2
1.037,0.9,10000,10,1.5,majority,0.0,5,2,2
1.001,0.866,10000,10,1.5,approval,0.0,5,2,2
0.935,0.759,10000,10,1.5,plurality,0.0,5,2,2
0.751,0.759,10000,10,1.5,majority,0.0,5,2,2
0.847,0.747,10000,10,1.5,approval,0.0,5,2,2
0.987,0.743,10000,10,1.5,plurality,0.0,5,2,2
0.645,0.696,10000,10,1.5,majority,0.0,5,2,2
1.003,0.8,10000,10,1.5,approval,0.0,5,2,2
0.817,0.777,10000,10,1.5,plurality,0.0,5,2,2
1.106,0.909,10000,10,1.5,majority,0.0,5,2,2
0.982,0.825,10000,10,1.5,approval,0.0,5,2,2
1.074,0.846,10000,10,1.5,plurality,0.0,5,2,2
0.606,0.684,10000,10,1.5,majority,0.0,5,2,2
1.086,0.855,10000,10,1.5,approval,0.0,5,2,2
0.887,0.854,10000,10,1.5,plurality,0.0,5,2,2
0.602,0.69,10000,10,1.5,majority,0.0,5,2,2
0.993,0.779,10000,10,1.5,approval,0.0,5,2,2
0.901,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.641,0.66,10000,10,1.5,majority,0.0,5,2,2
0.866,0.795,10000,10,1.5,approval,0.0,5,2,2
0.818,0.756,10000,10,1.5,plurality,0.0,5,2,2
0.562,0.655,10000,10,1.5,majority,0.0,5,2,2
0.939,0.762,10000,10,1.5,approval,0.0,5,2,2
0.745,0.748,10000,10,1.5,plurality,0.0,5,2,2
0.895,0.829,10000,10,1.5,majority,0.0,5,2,2
0.782,0.813,10000,10,1.5,approval,0.0,5,2,2
