,fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
113,0.193,10000,1,1,plurality,0.01,3,22
114,0.186,10000,1,1,plurality,0.01,4,2
115,0.185,10000,1,1,plurality,0.01,4,12
116,0.171,10000,1,1,plurality,0.01,4,22
117,0.263,10000,1,1,plurality,0.01,5,2
118,0.224,10000,1,1,plurality,0.01,5,12
119,0.176,10000,1,1,plurality,0.01,5,22
120,0.143,10000,1,1,plurality,0.01,6,2
121,0.187,10000,1,1,plurality,0.01,6,12
122,0.201,10000,1,1,plurality,0.01,6,22
123,0.117,10000,1,1,plurality,0.01,7,2
124,0.171,10000,1,1,plurality,0.01,7,12
125,0.18,10000,1,1,plurality,0.01,7,22
126,0.549,10000,1,1,plurality,0.01,8,2
127,0.208,10000,1,1,plurality,0.01,8,12
128,0.182,10000,1,1,plurality,0.01,8,22
129,0.13,10000,1,1,plurality,0.01,9,2
130,0.193,10000,1,1,plurality,0.01,9,12
131,0.23,10000,1,1,plurality,0.01,9,22
132,0.384,10000,1,1,plurality,0.01,10,2
133,0.222,10000,1,1,plurality,0.01,10,12
134,0.177,10000,1,1,plurality,0.01,10,22
135,0.126,10000,1,1,plurality,0.05,2,2
136,0.197,10000,1,1,plurality,0.05,2,12
137,0.177,10000,1,1,plurality,0.05,2,22
138,0.278,10000,1,1,plurality,0.05,3,2
139,0.19,10000,1,1,plurality,0.05,3,12
140,0.176,10000,1,1,plurality,0.05,3,22
141,0.145,10000,1,1,plurality,0.05,4,2
142,0.205,10000,1,1,plurality,0.05,4,12
143,0.189,10000,1,1,plurality,0.05,4,22
144,0.627,10000,1,1,plurality,0.05,5,2
145,0.164,10000,1,1,plurality,0.05,5,12
146,0.162,10000,1,1,plurality,0.05,5,22
147,0.177,10000,1,1,plurality,0.05,6,2
148,0.179,10000,1,1,plurality,0.05,6,12
149,0.171,10000,1,1,plurality,0.05,6,22
150,0.149,10000,1,1,plurality,0.05,7,2
151,0.19,10000,1,1,plurality,0.05,7,12
152,0.206,10000,1,1,plurality,0.05,7,22
153,0.153,10000,1,1,plurality,0.05,8,2
154,0.181,10000,1,1,plurality,0.05,8,12
155,0.166,10000,1,1,plurality,0.05,8,22
156,0.16,10000,1,1,plurality,0.05,9,2
157,0.193,10000,1,1,plurality,0.05,9,12
158,0.163,10000,1,1,plurality,0.05,9,22
159,0.195,10000,1,1,plurality,0.05,10,2
160,0.181,10000,1,1,plurality,0.05,10,12
161,0.253,10000,1,1,plurality,0.05,10,22
162,0.326,10000,1,2,majority,0.0,2,2
163,0.322,10000,1,2,majority,0.0,2,12
164,0.318,10000,1,2,majority,0.0,2,22
165,0.363,10000,1,2,majority,0.0,3,2
166,0.32,10000,1,2,majority,0.0,3,12
167,0.328,10000,1,2,majority,0.0,3,22
168,0.351,10000,1,2,majority,0.0,4,2
169,0.322,10000,1,2,majority,0.0,4,12
170,0.359,10000,1,2,majority,0.0,4,22
171,0.454,10000,1,2,majority,0.0,5,2
172,0.464,10000,1,2,majority,0.0,5,12
173,0.396,10000,1,2,majority,0.0,5,22
174,0.45,10000,1,2,majority,0.0,6,2
175,0.344,10000,1,2,majority,0.0,6,12
176,0.307,10000,1,2,majority,0.0,6,22
177,0.393,10000,1,2,majority,0.0,7,2
178,0.354,10000,1,2,majority,0.0,7,12
179,0.322,10000,1,2,majority,0.0,7,22
180,0.267,10000,1,2,majority,0.0,8,2
181,0.37,10000,1,2,majority,0.0,8,12
182,0.321,10000,1,2,majority,0.0,8,22
183,0.789,10000,1,2,majority,0.0,9,2
184,0.374,10000,1,2,majority,0.0,9,12
185,0.368,10000,1,2,majority,0.0,9,22
186,0.507,10000,1,2,majority,0.0,10,2
187,0.343,10000,1,2,majority,0.0,10,12
188,0.308,10000,1,2,majority,0.0,10,22
189,0.282,10000,1,2,majority,0.01,2,2
190,0.284,10000,1,2,majority,0.01,2,12
191,0.304,10000,1,2,majority,0.01,2,22
192,0.53,10000,1,2,majority,0.01,3,2
193,0.358,10000,1,2,majority,0.01,3,12
194,0.403,10000,1,2,majority,0.01,3,22
195,0.337,10000,1,2,majority,0.01,4,2
196,0.399,10000,1,2,majority,0.01,4,12
197,0.326,10000,1,2,majority,0.01,4,22
198,0.533,10000,1,2,majority,0.01,5,2
199,0.31,10000,1,2,majority,0.01,5,12
200,0.354,10000,1,2,majority,0.01,5,22
201,0.716,10000,1,2,majority,0.01,6,2
202,0.332,10000,1,2,majority,0.01,6,12
203,0.378,10000,1,2,majority,0.01,6,22
204,1.217,10000,1,2,majority,0.01,7,2
205,0.409,10000,1,2,majority,0.01,7,12
206,0.345,10000,1,2,majority,0.01,7,22
207,0.411,10000,1,2,majority,0.01,8,2
208,0.296,10000,1,2,majority,0.01,8,12
209,0.382,10000,1,2,majority,0.01,8,22
210,0.495,10000,1,2,majority,0.01,9,2
211,0.355,10000,1,2,majority,0.01,9,12
212,0.322,10000,1,2,majority,0.01,9,22
213,1.026,10000,1,2,majority,0.01,10,2
214,0.411,10000,1,2,majority,0.01,10,12
215,0.334,10000,1,2,majority,0.01,10,22
216,0.27,10000,1,2,majority,0.05,2,2
217,0.313,10000,1,2,majority,0.05,2,12
218,0.294,10000,1,2,majority,0.05,2,22
219,0.415,10000,1,2,majority,0.05,3,2
220,0.304,10000,1,2,majority,0.05,3,12
221,0.38,10000,1,2,majority,0.05,3,22
222,0.315,10000,1,2,majority,0.05,4,2
223,0.439,10000,1,2,majority,0.05,4,12
224,0.383,10000,1,2,majority,0.05,4,22
225,0.478,10000,1,2,majority,0.05,5,2
226,0.355,10000,1,2,majority,0.05,5,12
227,0.321,10000,1,2,majority,0.05,5,22
228,1.014,10000,1,2,majority,0.05,6,2
229,0.336,10000,1,2,majority,0.05,6,12
230,0.321,10000,1,2,majority,0.05,6,22
231,0.46,10000,1,2,majority,0.05,7,2
232,0.423,10000,1,2,majority,0.05,7,12
233,0.363,10000,1,2,majority,0.05,7,22
234,0.699,10000,1,2,majority,0.05,8,2
235,0.282,10000,1,2,majority,0.05,8,12
236,0.333,10000,1,2,majority,0.05,8,22
237,0.379,10000,1,2,majority,0.05,9,2
238,0.411,10000,1,2,majority,0.05,9,12
239,0.362,10000,1,2,majority,0.05,9,22
240,0.329,10000,1,2,majority,0.05,10,2
241,0.331,10000,1,2,majority,0.05,10,12
242,0.337,10000,1,2,majority,0.05,10,22
243,0.48,10000,1,2,plurality,0.0,2,2
244,0.367,10000,1,2,plurality,0.0,2,12
245,0.326,10000,1,2,plurality,0.0,2,22
246,0.349,10000,1,2,plurality,0.0,3,2
247,0.264,10000,1,2,plurality,0.0,3,12
248,0.366,10000,1,2,plurality,0.0,3,22
249,0.459,10000,1,2,plurality,0.0,4,2
250,0.329,10000,1,2,plurality,0.0,4,12
251,0.39,10000,1,2,plurality,0.0,4,22
252,0.347,10000,1,2,plurality,0.0,5,2
253,0.323,10000,1,2,plurality,0.0,5,12
254,0.385,10000,1,2,plurality,0.0,5,22
255,0.264,10000,1,2,plurality,0.0,6,2
256,0.312,10000,1,2,plurality,0.0,6,12
257,0.333,10000,1,2,plurality,0.0,6,22
258,0.259,10000,1,2,plurality,0.0,7,2
259,0.368,10000,1,2,plurality,0.0,7,12
260,0.381,10000,1,2,plurality,0.0,7,22
261,0.366,10000,1,2,plurality,0.0,8,2
262,0.364,10000,1,2,plurality,0.0,8,12
263,0.338,10000,1,2,plurality,0.0,8,22
264,0.337,10000,1,2,plurality,0.0,9,2
265,0.313,10000,1,2,plurality,0.0,9,12
266,0.327,10000,1,2,plurality,0.0,9,22
267,0.617,10000,1,2,plurality,0.0,10,2
268,0.569,10000,1,2,plurality,0.0,10,12
269,0.323,10000,1,2,plurality,0.0,10,22
270,0.397,10000,1,2,plurality,0.01,2,2
271,0.518,10000,1,2,plurality,0.01,2,12
272,0.312,10000,1,2,plurality,0.01,2,22
273,0.883,10000,1,2,plurality,0.01,3,2
274,0.414,10000,1,2,plurality,0.01,3,12
275,0.356,10000,1,2,plurality,0.01,3,22
276,1.2,10000,1,2,plurality,0.01,4,2
277,0.333,10000,1,2,plurality,0.01,4,12
278,0.342,10000,1,2,plurality,0.01,4,22
279,0.758,10000,1,2,plurality,0.01,5,2
280,0.404,10000,1,2,plurality,0.01,5,12
281,0.352,10000,1,2,plurality,0.01,5,22
282,0.23,10000,1,2,plurality,0.01,6,2
283,0.36,10000,1,2,plurality,0.01,6,12
284,0.305,10000,1,2,plurality,0.01,6,22
285,0.708,10000,1,2,plurality,0.01,7,2
286,0.365,10000,1,2,plurality,0.01,7,12
287,0.42,10000,1,2,plurality,0.01,7,22
288,0.303,10000,1,2,plurality,0.01,8,2
289,0.37,10000,1,2,plurality,0.01,8,12
290,0.31,10000,1,2,plurality,0.01,8,22
291,0.492,10000,1,2,plurality,0.01,9,2
292,0.42,10000,1,2,plurality,0.01,9,12
293,0.313,10000,1,2,plurality,0.01,9,22
294,0.286,10000,1,2,plurality,0.01,10,2
295,0.49,10000,1,2,plurality,0.01,10,12
296,0.332,10000,1,2,plurality,0.01,10,22
297,0.731,10000,1,2,plurality,0.05,2,2
298,0.334,10000,1,2,plurality,0.05,2,12
299,0.381,10000,1,2,plurality,0.05,2,22
300,0.493,10000,1,2,plurality,0.05,3,2
301,0.306,10000,1,2,plurality,0.05,3,12
302,0.309,10000,1,2,plurality,0.05,3,22
303,0.521,10000,1,2,plurality,0.05,4,2
304,0.398,10000,1,2,plurality,0.05,4,12
305,0.296,10000,1,2,plurality,0.05,4,22
306,0.38,10000,1,2,plurality,0.05,5,2
307,0.377,10000,1,2,plurality,0.05,5,12
308,0.337,10000,1,2,plurality,0.05,5,22
309,0.275,10000,1,2,plurality,0.05,6,2
310,0.342,10000,1,2,plurality,0.05,6,12
311,0.355,10000,1,2,plurality,0.05,6,22
312,0.408,10000,1,2,plurality,0.05,7,2
313,0.36,10000,1,2,plurality,0.05,7,12
314,0.307,10000,1,2,plurality,0.05,7,22
315,0.309,10000,1,2,plurality,0.05,8,2
316,0.36,10000,1,2,plurality,0.05,8,12
317,0.33,10000,1,2,plurality,0.05,8,22
318,0.493,10000,1,2,plurality,0.05,9,2
319,0.39,10000,1,2,plurality,0.05,9,12
320,0.391,10000,1,2,plurality,0.05,9,22
321,0.501,10000,1,2,plurality,0.05,10,2
322,0.443,10000,1,2,plurality,0.05,10,12
323,0.326,10000,1,2,plurality,0.05,10,22
324,0.447,10000,1,3,majority,0.0,2,2
325,0.519,10000,1,3,majority,0.0,2,12
326,0.495,10000,1,3,majority,0.0,2,22
327,0.844,10000,1,3,majority,0.0,3,2
328,0.509,10000,1,3,majority,0.0,3,12
329,0.57,10000,1,3,majority,0.0,3,22
330,0.546,10000,1,3,majority,0.0,4,2
331,0.482,10000,1,3,majority,0.0,4,12
332,0.512,10000,1,3,majority,0.0,4,22
333,0.85,10000,1,3,majority,0.0,5,2
334,0.426,10000,1,3,majority,0.0,5,12
335,0.538,10000,1,3,majority,0.0,5,22
336,0.521,10000,1,3,majority,0.0,6,2
337,0.546,10000,1,3,majority,0.0,6,12
338,0.491,10000,1,3,majority,0.0,6,22
339,0.47,10000,1,3,majority,0.0,7,2
340,0.54,10000,1,3,majority,0.0,7,12
341,0.444,10000,1,3,majority,0.0,7,22
342,0.658,10000,1,3,majority,0.0,8,2
343,0.512,10000,1,3,majority,0.0,8,12
344,0.465,10000,1,3,majority,0.0,8,22
345,1.02,10000,1,3,majority,0.0,9,2
346,0.508,10000,1,3,majority,0.0,9,12
347,0.494,10000,1,3,majority,0.0,9,22
348,0.98,10000,1,3,majority,0.0,10,2
349,0.489,10000,1,3,majority,0.0,10,12
350,0.48,10000,1,3,majority,0.0,10,22
351,0.499,10000,1,3,majority,0.01,2,2
352,0.469,10000,1,3,majority,0.01,2,12
353,0.469,10000,1,3,majority,0.01,2,22
354,1.237,10000,1,3,majority,0.01,3,2
355,0.435,10000,1,3,majority,0.01,3,12
356,0.453,10000,1,3,majority,0.01,3,22
357,0.575,10000,1,3,majority,0.01,4,2
358,0.442,10000,1,3,majority,0.01,4,12
359,0.525,10000,1,3,majority,0.01,4,22
360,0.991,10000,1,3,majority,0.01,5,2
361,0.481,10000,1,3,majority,0.01,5,12
362,0.429,10000,1,3,majority,0.01,5,22
363,0.588,10000,1,3,majority,0.01,6,2
364,0.458,10000,1,3,majority,0.01,6,12
365,0.46,10000,1,3,majority,0.01,6,22
366,0.535,10000,1,3,majority,0.01,7,2
367,0.524,10000,1,3,majority,0.01,7,12
368,0.483,10000,1,3,majority,0.01,7,22
369,0.49,10000,1,3,majority,0.01,8,2
370,0.551,10000,1,3,majority,0.01,8,12
371,0.435,10000,1,3,majority,0.01,8,22
372,0.546,10000,1,3,majority,0.01,9,2
373,0.463,10000,1,3,majority,0.01,9,12
374,0.48,10000,1,3,majority,0.01,9,22
375,0.491,10000,1,3,majority,0.01,10,2
376,0.6,10000,1,3,majority,0.01,10,12
377,0.559,10000,1,3,majority,0.01,10,22
378,0.431,10000,1,3,majority,0.05,2,2
379,0.459,10000,1,3,majority,0.05,2,12
380,0.479,10000,1,3,majority,0.05,2,22
381,0.505,10000,1,3,majority,0.05,3,2
382,0.44,10000,1,3,majority,0.05,3,12
383,0.493,10000,1,3,majority,0.05,3,22
384,0.499,10000,1,3,majority,0.05,4,2
385,0.52,10000,1,3,majority,0.05,4,12
386,0.464,10000,1,3,majority,0.05,4,22
387,1.03,10000,1,3,majority,0.05,5,2
388,0.472,10000,1,3,majority,0.05,5,12
389,0.466,10000,1,3,majority,0.05,5,22
390,0.831,10000,1,3,majority,0.05,6,2
391,0.471,10000,1,3,majority,0.05,6,12
392,0.474,10000,1,3,majority,0.05,6,22
393,0.481,10000,1,3,majority,0.05,7,2
394,0.52,10000,1,3,majority,0.05,7,12
395,0.498,10000,1,3,majority,0.05,7,22
396,0.616,10000,1,3,majority,0.05,8,2
397,0.458,10000,1,3,majority,0.05,8,12
398,0.451,10000,1,3,majority,0.05,8,22
399,1.011,10000,1,3,majority,0.05,9,2
400,0.481,10000,1,3,majority,0.05,9,12
401,0.443,10000,1,3,majority,0.05,9,22
402,0.579,10000,1,3,majority,0.05,10,2
403,0.537,10000,1,3,majority,0.05,10,12
404,0.506,10000,1,3,majority,0.05,10,22
405,0.553,10000,1,3,plurality,0.0,2,2
406,0.509,10000,1,3,plurality,0.0,2,12
407,0.431,10000,1,3,plurality,0.0,2,22
408,0.544,10000,1,3,plurality,0.0,3,2
409,0.467,10000,1,3,plurality,0.0,3,12
410,0.476,10000,1,3,plurality,0.0,3,22
411,0.86,10000,1,3,plurality,0.0,4,2
412,0.45,10000,1,3,plurality,0.0,4,12
413,0.436,10000,1,3,plurality,0.0,4,22
414,0.497,10000,1,3,plurality,0.0,5,2
415,0.482,10000,1,3,plurality,0.0,5,12
416,0.569,10000,1,3,plurality,0.0,5,22
417,0.534,10000,1,3,plurality,0.0,6,2
418,0.53,10000,1,3,plurality,0.0,6,12
419,0.496,10000,1,3,plurality,0.0,6,22
420,0.388,10000,1,3,plurality,0.0,7,2
421,0.521,10000,1,3,plurality,0.0,7,12
422,0.519,10000,1,3,plurality,0.0,7,22
423,0.428,10000,1,3,plurality,0.0,8,2
424,0.46,10000,1,3,plurality,0.0,8,12
425,0.437,10000,1,3,plurality,0.0,8,22
426,0.35,10000,1,3,plurality,0.0,9,2
427,0.458,10000,1,3,plurality,0.0,9,12
428,0.487,10000,1,3,plurality,0.0,9,22
429,0.379,10000,1,3,plurality,0.0,10,2
430,0.492,10000,1,3,plurality,0.0,10,12
431,0.472,10000,1,3,plurality,0.0,10,22
432,0.493,10000,1,3,plurality,0.01,2,2
433,0.515,10000,1,3,plurality,0.01,2,12
434,0.502,10000,1,3,plurality,0.01,2,22
435,0.685,10000,1,3,plurality,0.01,3,2
436,0.45,10000,1,3,plurality,0.01,3,12
437,0.452,10000,1,3,plurality,0.01,3,22
438,0.549,10000,1,3,plurality,0.01,4,2
439,0.703,10000,1,3,plurality,0.01,4,12
440,0.466,10000,1,3,plurality,0.01,4,22
441,0.595,10000,1,3,plurality,0.01,5,2
442,0.519,10000,1,3,plurality,0.01,5,12
443,0.487,10000,1,3,plurality,0.01,5,22
444,0.485,10000,1,3,plurality,0.01,6,2
445,0.483,10000,1,3,plurality,0.01,6,12
446,0.536,10000,1,3,plurality,0.01,6,22
447,0.524,10000,1,3,plurality,0.01,7,2
448,0.538,10000,1,3,plurality,0.01,7,12
449,0.572,10000,1,3,plurality,0.01,7,22
450,0.376,10000,1,3,plurality,0.01,8,2
451,0.518,10000,1,3,plurality,0.01,8,12
